Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
189;Hochwurz;;28.05.15;00:00;-2,0420108;;;;;;;;;;
189;Hochwurz;;28.05.15;00:30;-1,9963162;;;;;;;;;;
189;Hochwurz;;28.05.15;01:00;-1,9969852;;;;;;;;;;
189;Hochwurz;;28.05.15;01:30;-2,0396981;;;;;;;;;;
189;Hochwurz;;28.05.15;02:00;-2,104256;;;;;;;;;;
189;Hochwurz;;28.05.15;02:30;-2,1935132;;;;;;;;;;
189;Hochwurz;;28.05.15;03:00;-2,2180355;;;;;;;;;;
189;Hochwurz;;28.05.15;03:30;-2,3624814;;;;;;;;;;
189;Hochwurz;;28.05.15;04:00;-2,534977;;;;;;;;;;
189;Hochwurz;;28.05.15;04:30;-2,607076;;;;;;;;;;
189;Hochwurz;;28.05.15;05:00;-2,6182735;;;;;;;;;;
189;Hochwurz;;28.05.15;05:30;-2,5007215;;;;;;;;;;
189;Hochwurz;;28.05.15;06:00;-2,6005664;;;;;;;;;;
189;Hochwurz;;28.05.15;06:30;-2,4637294;;;;;;;;;;
189;Hochwurz;;28.05.15;07:00;-2,1332784;;;;;;;;;;
189;Hochwurz;;28.05.15;07:30;-1,8681761;;;;;;;;;;
189;Hochwurz;;28.05.15;08:00;-1,4734745;;;;;;;;;;
189;Hochwurz;;28.05.15;08:30;-1,1199034;;;;;;;;;;
189;Hochwurz;;28.05.15;09:00;-0,79669404;;;;;;;;;;
189;Hochwurz;;28.05.15;09:30;0,34232706;;;;;;;;;;
189;Hochwurz;;28.05.15;10:00;1,0072429;;;;;;;;;;
189;Hochwurz;;28.05.15;10:30;1,5888007;;;;;;;;;;
189;Hochwurz;;28.05.15;11:00;2,3224113;;;;;;;;;;
189;Hochwurz;;28.05.15;11:30;3,0480492;;;;;;;;;;
189;Hochwurz;;28.05.15;12:00;3,6646545;;;;;;;;;;
189;Hochwurz;;28.05.15;12:30;4,7913847;;;;;;;;;;
189;Hochwurz;;28.05.15;13:00;5,900285;;;;;;;;;;
189;Hochwurz;;28.05.15;13:30;6,4710774;;;;;;;;;;
189;Hochwurz;;28.05.15;14:00;7,503863;;;;;;;;;;
189;Hochwurz;;28.05.15;14:30;8,342789;;;;;;;;;;
189;Hochwurz;;28.05.15;15:00;8,396456;;;;;;;;;;
189;Hochwurz;;28.05.15;15:30;8,54912;;;;;;;;;;
189;Hochwurz;;28.05.15;16:00;8,834059;;;;;;;;;;
