Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
164;Graz-DB;;30.05.15;00:00;15,369191;;;;;;;;;;
164;Graz-DB;;30.05.15;00:30;14,652555;;;;;;;;;;
164;Graz-DB;;30.05.15;01:00;13,790374;;;;;;;;;;
164;Graz-DB;;30.05.15;01:30;13,304701;;;;;;;;;;
164;Graz-DB;;30.05.15;02:00;13,237371;;;;;;;;;;
164;Graz-DB;;30.05.15;02:30;12,940606;;;;;;;;;;
164;Graz-DB;;30.05.15;03:00;12,830062;;;;;;;;;;
164;Graz-DB;;30.05.15;03:30;12,204384;;;;;;;;;;
164;Graz-DB;;30.05.15;04:00;11,425338;;;;;;;;;;
164;Graz-DB;;30.05.15;04:30;11,563015;;;;;;;;;;
164;Graz-DB;;30.05.15;05:00;11,520495;;;;;;;;;;
164;Graz-DB;;30.05.15;05:30;12,290798;;;;;;;;;;
164;Graz-DB;;30.05.15;06:00;12,983564;;;;;;;;;;
164;Graz-DB;;30.05.15;06:30;13,660105;;;;;;;;;;
164;Graz-DB;;30.05.15;07:00;15,105549;;;;;;;;;;
164;Graz-DB;;30.05.15;07:30;17,103106;;;;;;;;;;
164;Graz-DB;;30.05.15;08:00;18,339453;;;;;;;;;;
164;Graz-DB;;30.05.15;08:30;19,290047;;;;;;;;;;
164;Graz-DB;;30.05.15;09:00;20,011984;;;;;;;;;;
164;Graz-DB;;30.05.15;09:30;20,618412;;;;;;;;;;
164;Graz-DB;;30.05.15;10:00;21,220428;;;;;;;;;;
164;Graz-DB;;30.05.15;10:30;22,219568;;;;;;;;;;
164;Graz-DB;;30.05.15;11:00;22,502728;;;;;;;;;;
164;Graz-DB;;30.05.15;11:30;22,54844;;;;;;;;;;
