Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
128;MOBILE 1;;30.05.15;00:00;11,993199;;;;;;;;;;
128;MOBILE 1;;30.05.15;00:30;11,263596;;;;;;;;;;
128;MOBILE 1;;30.05.15;01:00;11,047976;;;;;;;;;;
128;MOBILE 1;;30.05.15;01:30;10,605145;;;;;;;;;;
128;MOBILE 1;;30.05.15;02:00;10,246522;;;;;;;;;;
128;MOBILE 1;;30.05.15;02:30;9,857716;;;;;;;;;;
128;MOBILE 1;;30.05.15;03:00;9,856564;;;;;;;;;;
128;MOBILE 1;;30.05.15;03:30;9,713695;;;;;;;;;;
128;MOBILE 1;;30.05.15;04:00;9,184099;;;;;;;;;;
128;MOBILE 1;;30.05.15;04:30;9,254308;;;;;;;;;;
128;MOBILE 1;;30.05.15;05:00;9,405326;;;;;;;;;;
128;MOBILE 1;;30.05.15;05:30;9,707667;;;;;;;;;;
128;MOBILE 1;;30.05.15;06:00;10,849191;;;;;;;;;;
128;MOBILE 1;;30.05.15;06:30;12,398188;;;;;;;;;;
128;MOBILE 1;;30.05.15;07:00;13,658522;;;;;;;;;;
128;MOBILE 1;;30.05.15;07:30;15,632941;;;;;;;;;;
128;MOBILE 1;;30.05.15;08:00;16,853434;;;;;;;;;;
128;MOBILE 1;;30.05.15;08:30;18,17427;;;;;;;;;;
128;MOBILE 1;;30.05.15;09:00;19,439186;;;;;;;;;;
128;MOBILE 1;;30.05.15;09:30;21,182028;;;;;;;;;;
128;MOBILE 1;;30.05.15;10:00;21,900848;;;;;;;;;;
128;MOBILE 1;;30.05.15;10:30;22,277788;;;;;;;;;;
128;MOBILE 1;;30.05.15;11:00;22,593575;;;;;;;;;;
128;MOBILE 1;;30.05.15;11:30;23,664583;;;;;;;;;;
