Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
36;Lustb.;;30.05.15;00:00;14,277636;;;;;;;;;;
36;Lustb.;;30.05.15;00:30;13,750142;;;;;;;;;;
36;Lustb.;;30.05.15;01:00;13,980131;;;;;;;;;;
36;Lustb.;;30.05.15;01:30;13,743803;;;;;;;;;;
36;Lustb.;;30.05.15;02:00;13,544813;;;;;;;;;;
36;Lustb.;;30.05.15;02:30;12,988608;;;;;;;;;;
36;Lustb.;;30.05.15;03:00;12,104477;;;;;;;;;;
36;Lustb.;;30.05.15;03:30;12,580383;;;;;;;;;;
36;Lustb.;;30.05.15;04:00;11,784086;;;;;;;;;;
36;Lustb.;;30.05.15;04:30;11,320257;;;;;;;;;;
36;Lustb.;;30.05.15;05:00;11,942562;;;;;;;;;;
36;Lustb.;;30.05.15;05:30;12,621374;;;;;;;;;;
36;Lustb.;;30.05.15;06:00;13,020298;;;;;;;;;;
36;Lustb.;;30.05.15;06:30;14,1552925;;;;;;;;;;
36;Lustb.;;30.05.15;07:00;14,544742;;;;;;;;;;
36;Lustb.;;30.05.15;07:30;16,691942;;;;;;;;;;
36;Lustb.;;30.05.15;08:00;17,610653;;;;;;;;;;
36;Lustb.;;30.05.15;08:30;18,163929;;;;;;;;;;
36;Lustb.;;30.05.15;09:00;18,377825;;;;;;;;;;
36;Lustb.;;30.05.15;09:30;18,97278;;;;;;;;;;
36;Lustb.;;30.05.15;10:00;19,52013;;;;;;;;;;
36;Lustb.;;30.05.15;10:30;19,964025;;;;;;;;;;
36;Lustb.;;30.05.15;11:00;20,147188;;;;;;;;;;
36;Lustb.;;30.05.15;11:30;21,20718;;;;;;;;;;
