Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
141;Göß;;30.05.15;00:00;10,432338;;;;;;;;;;
141;Göß;;30.05.15;00:30;10,098047;;;;;;;;;;
141;Göß;;30.05.15;01:00;9,512727;;;;;;;;;;
141;Göß;;30.05.15;01:30;9,225593;;;;;;;;;;
141;Göß;;30.05.15;02:00;9,182465;;;;;;;;;;
141;Göß;;30.05.15;02:30;8,678715;;;;;;;;;;
141;Göß;;30.05.15;03:00;8,46619;;;;;;;;;;
141;Göß;;30.05.15;03:30;8,388;;;;;;;;;;
141;Göß;;30.05.15;04:00;8,278911;;;;;;;;;;
141;Göß;;30.05.15;04:30;8,086699;;;;;;;;;;
141;Göß;;30.05.15;05:00;8,468448;;;;;;;;;;
141;Göß;;30.05.15;05:30;8,971252;;;;;;;;;;
141;Göß;;30.05.15;06:00;9,486374;;;;;;;;;;
141;Göß;;30.05.15;06:30;10,360362;;;;;;;;;;
141;Göß;;30.05.15;07:00;11,248513;;;;;;;;;;
141;Göß;;30.05.15;07:30;13,107639;;;;;;;;;;
141;Göß;;30.05.15;08:00;14,088831;;;;;;;;;;
141;Göß;;30.05.15;08:30;13,672591;;;;;;;;;;
141;Göß;;30.05.15;09:00;14,248128;;;;;;;;;;
141;Göß;;30.05.15;09:30;15,212641;;;;;;;;;;
141;Göß;;30.05.15;10:00;15,965656;;;;;;;;;;
141;Göß;;30.05.15;10:30;17,643759;;;;;;;;;;
141;Göß;;30.05.15;11:00;19,286411;;;;;;;;;;
141;Göß;;30.05.15;11:30;20,310972;;;;;;;;;;
