Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
183;Peggau;;30.05.15;00:00;11,808115;;;;;;;;;;
183;Peggau;;30.05.15;00:30;11,309048;;;;;;;;;;
183;Peggau;;30.05.15;01:00;11,068341;;;;;;;;;;
183;Peggau;;30.05.15;01:30;10,883808;;;;;;;;;;
183;Peggau;;30.05.15;02:00;11,141163;;;;;;;;;;
183;Peggau;;30.05.15;02:30;11,242016;;;;;;;;;;
183;Peggau;;30.05.15;03:00;10,997181;;;;;;;;;;
183;Peggau;;30.05.15;03:30;10,779951;;;;;;;;;;
183;Peggau;;30.05.15;04:00;10,937139;;;;;;;;;;
183;Peggau;;30.05.15;04:30;11,127502;;;;;;;;;;
183;Peggau;;30.05.15;05:00;11,218162;;;;;;;;;;
183;Peggau;;30.05.15;05:30;11,706102;;;;;;;;;;
183;Peggau;;30.05.15;06:00;12,043268;;;;;;;;;;
183;Peggau;;30.05.15;06:30;12,801688;;;;;;;;;;
183;Peggau;;30.05.15;07:00;14,081563;;;;;;;;;;
183;Peggau;;30.05.15;07:30;14,89572;;;;;;;;;;
183;Peggau;;30.05.15;08:00;15,019544;;;;;;;;;;
183;Peggau;;30.05.15;08:30;17,23702;;;;;;;;;;
183;Peggau;;30.05.15;09:00;19,120342;;;;;;;;;;
183;Peggau;;30.05.15;09:30;20,111954;;;;;;;;;;
183;Peggau;;30.05.15;10:00;20,054764;;;;;;;;;;
183;Peggau;;30.05.15;10:30;20,000856;;;;;;;;;;
183;Peggau;;30.05.15;11:00;20,444141;;;;;;;;;;
183;Peggau;;30.05.15;11:30;20,537111;;;;;;;;;;
