Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
138;Graz-N;;30.05.15;00:00;13,609366;;;;;;;;;;
138;Graz-N;;30.05.15;00:30;13,438984;;;;;;;;;;
138;Graz-N;;30.05.15;01:00;12,990518;;;;;;;;;;
138;Graz-N;;30.05.15;01:30;12,591126;;;;;;;;;;
138;Graz-N;;30.05.15;02:00;12,20176;;;;;;;;;;
138;Graz-N;;30.05.15;02:30;11,838204;;;;;;;;;;
138;Graz-N;;30.05.15;03:00;12,321205;;;;;;;;;;
138;Graz-N;;30.05.15;03:30;11,700877;;;;;;;;;;
138;Graz-N;;30.05.15;04:00;11,687876;;;;;;;;;;
138;Graz-N;;30.05.15;04:30;11,94306;;;;;;;;;;
138;Graz-N;;30.05.15;05:00;12,244961;;;;;;;;;;
138;Graz-N;;30.05.15;05:30;12,768363;;;;;;;;;;
138;Graz-N;;30.05.15;06:00;13,550132;;;;;;;;;;
138;Graz-N;;30.05.15;06:30;14,788186;;;;;;;;;;
138;Graz-N;;30.05.15;07:00;15,637692;;;;;;;;;;
138;Graz-N;;30.05.15;07:30;16,891933;;;;;;;;;;
138;Graz-N;;30.05.15;08:00;18,147833;;;;;;;;;;
138;Graz-N;;30.05.15;08:30;19,858732;;;;;;;;;;
138;Graz-N;;30.05.15;09:00;20,674103;;;;;;;;;;
138;Graz-N;;30.05.15;09:30;21,273447;;;;;;;;;;
138;Graz-N;;30.05.15;10:00;21,526173;;;;;;;;;;
138;Graz-N;;30.05.15;10:30;21,994724;;;;;;;;;;
138;Graz-N;;30.05.15;11:00;21,65237;;;;;;;;;;
138;Graz-N;;30.05.15;11:30;22,233793;;;;;;;;;;
