Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
197;Leibnitz;;30.05.15;00:00;12,788786;;;;;;;;;;
197;Leibnitz;;30.05.15;00:30;12,064929;;;;;;;;;;
197;Leibnitz;;30.05.15;01:00;11,593304;;;;;;;;;;
197;Leibnitz;;30.05.15;01:30;11,523788;;;;;;;;;;
197;Leibnitz;;30.05.15;02:00;10,9643545;;;;;;;;;;
197;Leibnitz;;30.05.15;02:30;10,653347;;;;;;;;;;
197;Leibnitz;;30.05.15;03:00;10,367297;;;;;;;;;;
197;Leibnitz;;30.05.15;03:30;9,979624;;;;;;;;;;
197;Leibnitz;;30.05.15;04:00;9,874785;;;;;;;;;;
197;Leibnitz;;30.05.15;04:30;9,623751;;;;;;;;;;
197;Leibnitz;;30.05.15;05:00;9,791132;;;;;;;;;;
197;Leibnitz;;30.05.15;05:30;10,082936;;;;;;;;;;
197;Leibnitz;;30.05.15;06:00;11,063636;;;;;;;;;;
197;Leibnitz;;30.05.15;06:30;12,263223;;;;;;;;;;
197;Leibnitz;;30.05.15;07:00;14,400352;;;;;;;;;;
197;Leibnitz;;30.05.15;07:30;16,003069;;;;;;;;;;
197;Leibnitz;;30.05.15;08:00;17,497168;;;;;;;;;;
197;Leibnitz;;30.05.15;08:30;18,654493;;;;;;;;;;
197;Leibnitz;;30.05.15;09:00;20,17551;;;;;;;;;;
197;Leibnitz;;30.05.15;09:30;21,148638;;;;;;;;;;
197;Leibnitz;;30.05.15;10:00;21,746365;;;;;;;;;;
197;Leibnitz;;30.05.15;10:30;21,975695;;;;;;;;;;
197;Leibnitz;;30.05.15;11:00;22,477964;;;;;;;;;;
197;Leibnitz;;30.05.15;11:30;23,22311;;;;;;;;;;
