Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
16;Mob. M2;;30.05.15;00:00;11,974391;;;;;;;;;;
16;Mob. M2;;30.05.15;00:30;11,585134;;;;;;;;;;
16;Mob. M2;;30.05.15;01:00;11,079281;;;;;;;;;;
16;Mob. M2;;30.05.15;01:30;10,989973;;;;;;;;;;
16;Mob. M2;;30.05.15;02:00;10,38553;;;;;;;;;;
16;Mob. M2;;30.05.15;02:30;9,919801;;;;;;;;;;
16;Mob. M2;;30.05.15;03:00;9,799003;;;;;;;;;;
16;Mob. M2;;30.05.15;03:30;9,5845585;;;;;;;;;;
16;Mob. M2;;30.05.15;04:00;9,321778;;;;;;;;;;
16;Mob. M2;;30.05.15;04:30;9,398167;;;;;;;;;;
16;Mob. M2;;30.05.15;05:00;9,944583;;;;;;;;;;
16;Mob. M2;;30.05.15;05:30;10,7465105;;;;;;;;;;
16;Mob. M2;;30.05.15;06:00;11,285248;;;;;;;;;;
16;Mob. M2;;30.05.15;06:30;12,357169;;;;;;;;;;
16;Mob. M2;;30.05.15;07:00;13,748552;;;;;;;;;;
16;Mob. M2;;30.05.15;07:30;15,108499;;;;;;;;;;
16;Mob. M2;;30.05.15;08:00;16,412216;;;;;;;;;;
16;Mob. M2;;30.05.15;08:30;17,595276;;;;;;;;;;
16;Mob. M2;;30.05.15;09:00;18,203587;;;;;;;;;;
16;Mob. M2;;30.05.15;09:30;19,041357;;;;;;;;;;
16;Mob. M2;;30.05.15;10:00;19,817312;;;;;;;;;;
16;Mob. M2;;30.05.15;10:30;20,529531;;;;;;;;;;
16;Mob. M2;;30.05.15;11:00;20,921282;;;;;;;;;;
16;Mob. M2;;30.05.15;11:30;21,422947;;;;;;;;;;
