Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
180;Bruck;;28.05.15;00:00;9,155555;;;;;;;;;;
180;Bruck;;28.05.15;00:30;8,74201;;;;;;;;;;
180;Bruck;;28.05.15;01:00;8,106164;;;;;;;;;;
180;Bruck;;28.05.15;01:30;7,7511954;;;;;;;;;;
180;Bruck;;28.05.15;02:00;7,312624;;;;;;;;;;
180;Bruck;;28.05.15;02:30;7,441734;;;;;;;;;;
180;Bruck;;28.05.15;03:00;7,5011888;;;;;;;;;;
180;Bruck;;28.05.15;03:30;7,179859;;;;;;;;;;
180;Bruck;;28.05.15;04:00;6,6104736;;;;;;;;;;
180;Bruck;;28.05.15;04:30;6,1093526;;;;;;;;;;
180;Bruck;;28.05.15;05:00;5,8139424;;;;;;;;;;
180;Bruck;;28.05.15;05:30;6,128092;;;;;;;;;;
180;Bruck;;28.05.15;06:00;6,8934555;;;;;;;;;;
180;Bruck;;28.05.15;06:30;7,6902275;;;;;;;;;;
180;Bruck;;28.05.15;07:00;8,999244;;;;;;;;;;
180;Bruck;;28.05.15;07:30;10,587617;;;;;;;;;;
180;Bruck;;28.05.15;08:00;11,855501;;;;;;;;;;
180;Bruck;;28.05.15;08:30;13,423717;;;;;;;;;;
180;Bruck;;28.05.15;09:00;14,895277;;;;;;;;;;
180;Bruck;;28.05.15;09:30;15,3516655;;;;;;;;;;
180;Bruck;;28.05.15;10:00;16,066233;;;;;;;;;;
180;Bruck;;28.05.15;10:30;16,532118;;;;;;;;;;
180;Bruck;;28.05.15;11:00;16,68199;;;;;;;;;;
180;Bruck;;28.05.15;11:30;17,222042;;;;;;;;;;
180;Bruck;;28.05.15;12:00;18,186018;;;;;;;;;;
180;Bruck;;28.05.15;12:30;18,215837;;;;;;;;;;
180;Bruck;;28.05.15;13:00;18,580612;;;;;;;;;;
180;Bruck;;28.05.15;13:30;19,202198;;;;;;;;;;
180;Bruck;;28.05.15;14:00;19,488783;;;;;;;;;;
180;Bruck;;28.05.15;14:30;20,097837;;;;;;;;;;
180;Bruck;;28.05.15;15:00;20,391527;;;;;;;;;;
180;Bruck;;28.05.15;15:30;20,553234;;;;;;;;;;
180;Bruck;;28.05.15;16:00;20,782703;;;;;;;;;;
