Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
156;Masenbg.;;30.05.15;00:00;9,850297;;;;;;;;;;
156;Masenbg.;;30.05.15;00:30;9,49157;;;;;;;;;;
156;Masenbg.;;30.05.15;01:00;9,400854;;;;;;;;;;
156;Masenbg.;;30.05.15;01:30;9,962162;;;;;;;;;;
156;Masenbg.;;30.05.15;02:00;10,141213;;;;;;;;;;
156;Masenbg.;;30.05.15;02:30;11,842789;;;;;;;;;;
156;Masenbg.;;30.05.15;03:00;12,42579;;;;;;;;;;
156;Masenbg.;;30.05.15;03:30;12,555947;;;;;;;;;;
156;Masenbg.;;30.05.15;04:00;12,324263;;;;;;;;;;
156;Masenbg.;;30.05.15;04:30;11,825326;;;;;;;;;;
156;Masenbg.;;30.05.15;05:00;11,792665;;;;;;;;;;
156;Masenbg.;;30.05.15;05:30;12,193568;;;;;;;;;;
156;Masenbg.;;30.05.15;06:00;12,794229;;;;;;;;;;
156;Masenbg.;;30.05.15;06:30;13,959612;;;;;;;;;;
156;Masenbg.;;30.05.15;07:00;14,208531;;;;;;;;;;
156;Masenbg.;;30.05.15;07:30;14,623391;;;;;;;;;;
156;Masenbg.;;30.05.15;08:00;14,245018;;;;;;;;;;
156;Masenbg.;;30.05.15;08:30;14,442764;;;;;;;;;;
156;Masenbg.;;30.05.15;09:00;14,778175;;;;;;;;;;
156;Masenbg.;;30.05.15;09:30;15,851681;;;;;;;;;;
156;Masenbg.;;30.05.15;10:00;15,537146;;;;;;;;;;
156;Masenbg.;;30.05.15;10:30;14,779821;;;;;;;;;;
156;Masenbg.;;30.05.15;11:00;12,60148;;;;;;;;;;
156;Masenbg.;;30.05.15;11:30;13,083182;;;;;;;;;;
