Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
34;Oeversee;;28.05.15;00:00;11,569427;;;;;;;;;;
34;Oeversee;;28.05.15;00:30;11,478327;;;;;;;;;;
34;Oeversee;;28.05.15;01:00;11,012217;;;;;;;;;;
34;Oeversee;;28.05.15;01:30;10,214847;;;;;;;;;;
34;Oeversee;;28.05.15;02:00;9,81847;;;;;;;;;;
34;Oeversee;;28.05.15;02:30;9,503742;;;;;;;;;;
34;Oeversee;;28.05.15;03:00;9,345976;;;;;;;;;;
34;Oeversee;;28.05.15;03:30;9,589033;;;;;;;;;;
34;Oeversee;;28.05.15;04:00;8,946522;;;;;;;;;;
34;Oeversee;;28.05.15;04:30;8,61973;;;;;;;;;;
34;Oeversee;;28.05.15;05:00;8,416273;;;;;;;;;;
34;Oeversee;;28.05.15;05:30;8,408606;;;;;;;;;;
34;Oeversee;;28.05.15;06:00;8,858329;;;;;;;;;;
34;Oeversee;;28.05.15;06:30;10,27499;;;;;;;;;;
34;Oeversee;;28.05.15;07:00;11,551369;;;;;;;;;;
34;Oeversee;;28.05.15;07:30;12,262047;;;;;;;;;;
34;Oeversee;;28.05.15;08:00;12,72494;;;;;;;;;;
34;Oeversee;;28.05.15;08:30;13,359668;;;;;;;;;;
34;Oeversee;;28.05.15;09:00;14,22035;;;;;;;;;;
34;Oeversee;;28.05.15;09:30;14,8487;;;;;;;;;;
34;Oeversee;;28.05.15;10:00;15,372028;;;;;;;;;;
34;Oeversee;;28.05.15;10:30;15,509511;;;;;;;;;;
34;Oeversee;;28.05.15;11:00;16,202997;;;;;;;;;;
34;Oeversee;;28.05.15;11:30;16,598959;;;;;;;;;;
34;Oeversee;;28.05.15;12:00;16,478834;;;;;;;;;;
34;Oeversee;;28.05.15;12:30;17,036173;;;;;;;;;;
34;Oeversee;;28.05.15;13:00;17,701319;;;;;;;;;;
34;Oeversee;;28.05.15;13:30;18,12089;;;;;;;;;;
34;Oeversee;;28.05.15;14:00;18,384096;;;;;;;;;;
34;Oeversee;;28.05.15;14:30;18,764652;;;;;;;;;;
34;Oeversee;;28.05.15;15:00;18,786972;;;;;;;;;;
34;Oeversee;;28.05.15;15:30;18,901438;;;;;;;;;;
34;Oeversee;;28.05.15;16:00;18,42838;;;;;;;;;;
