Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
186;Reiterbg;;28.05.15;00:00;6,796;;;;;;;;;;
186;Reiterbg;;28.05.15;00:30;6,865;;;;;;;;;;
186;Reiterbg;;28.05.15;01:00;6,403;;;;;;;;;;
186;Reiterbg;;28.05.15;01:30;5,995;;;;;;;;;;
186;Reiterbg;;28.05.15;02:00;5,93;;;;;;;;;;
186;Reiterbg;;28.05.15;02:30;5,787;;;;;;;;;;
186;Reiterbg;;28.05.15;03:00;5,446;;;;;;;;;;
186;Reiterbg;;28.05.15;03:30;4,894;;;;;;;;;;
186;Reiterbg;;28.05.15;04:00;4,973;;;;;;;;;;
186;Reiterbg;;28.05.15;04:30;4,337;;;;;;;;;;
186;Reiterbg;;28.05.15;05:00;4,258;;;;;;;;;;
186;Reiterbg;;28.05.15;05:30;5,026;;;;;;;;;;
186;Reiterbg;;28.05.15;06:00;5,426;;;;;;;;;;
186;Reiterbg;;28.05.15;06:30;6,136;;;;;;;;;;
186;Reiterbg;;28.05.15;07:00;7,392;;;;;;;;;;
186;Reiterbg;;28.05.15;07:30;8,539;;;;;;;;;;
186;Reiterbg;;28.05.15;08:00;9,413;;;;;;;;;;
186;Reiterbg;;28.05.15;08:30;10,34;;;;;;;;;;
