Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
129;MOBILE 2;;30.05.15;00:00;12,826348;;;;;;;;;;
129;MOBILE 2;;30.05.15;00:30;12,693081;;;;;;;;;;
129;MOBILE 2;;30.05.15;01:00;12,745824;;;;;;;;;;
129;MOBILE 2;;30.05.15;01:30;12,423296;;;;;;;;;;
129;MOBILE 2;;30.05.15;02:00;11,910082;;;;;;;;;;
129;MOBILE 2;;30.05.15;02:30;12,19794;;;;;;;;;;
129;MOBILE 2;;30.05.15;03:00;13,772635;;;;;;;;;;
129;MOBILE 2;;30.05.15;03:30;12,955667;;;;;;;;;;
129;MOBILE 2;;30.05.15;04:00;12,451868;;;;;;;;;;
129;MOBILE 2;;30.05.15;04:30;12,198988;;;;;;;;;;
129;MOBILE 2;;30.05.15;05:00;11,977542;;;;;;;;;;
129;MOBILE 2;;30.05.15;05:30;12,046709;;;;;;;;;;
129;MOBILE 2;;30.05.15;06:00;11,892006;;;;;;;;;;
129;MOBILE 2;;30.05.15;06:30;12,194046;;;;;;;;;;
129;MOBILE 2;;30.05.15;07:00;13,337185;;;;;;;;;;
129;MOBILE 2;;30.05.15;07:30;13,748076;;;;;;;;;;
129;MOBILE 2;;30.05.15;08:00;13,910568;;;;;;;;;;
129;MOBILE 2;;30.05.15;08:30;15,058035;;;;;;;;;;
129;MOBILE 2;;30.05.15;09:00;15,48292;;;;;;;;;;
129;MOBILE 2;;30.05.15;09:30;17,051704;;;;;;;;;;
129;MOBILE 2;;30.05.15;10:00;17,587128;;;;;;;;;;
129;MOBILE 2;;30.05.15;10:30;18,629326;;;;;;;;;;
129;MOBILE 2;;30.05.15;11:00;18,336409;;;;;;;;;;
129;MOBILE 2;;30.05.15;11:30;18,31282;;;;;;;;;;
