Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
22;Plabut.;;30.05.15;00:00;14,109524;;;;;;;;;;
22;Plabut.;;30.05.15;00:30;13,963981;;;;;;;;;;
22;Plabut.;;30.05.15;01:00;13,807992;;;;;;;;;;
22;Plabut.;;30.05.15;01:30;13,598002;;;;;;;;;;
22;Plabut.;;30.05.15;02:00;13,449255;;;;;;;;;;
22;Plabut.;;30.05.15;02:30;13,119402;;;;;;;;;;
22;Plabut.;;30.05.15;03:00;13,04065;;;;;;;;;;
22;Plabut.;;30.05.15;03:30;13,61189;;;;;;;;;;
22;Plabut.;;30.05.15;04:00;12,624682;;;;;;;;;;
22;Plabut.;;30.05.15;04:30;12,960089;;;;;;;;;;
22;Plabut.;;30.05.15;05:00;13,866072;;;;;;;;;;
22;Plabut.;;30.05.15;05:30;14,167578;;;;;;;;;;
22;Plabut.;;30.05.15;06:00;14,030653;;;;;;;;;;
22;Plabut.;;30.05.15;06:30;14,982865;;;;;;;;;;
22;Plabut.;;30.05.15;07:00;16,202028;;;;;;;;;;
22;Plabut.;;30.05.15;07:30;17,515074;;;;;;;;;;
22;Plabut.;;30.05.15;08:00;18,061306;;;;;;;;;;
22;Plabut.;;30.05.15;08:30;17,966318;;;;;;;;;;
22;Plabut.;;30.05.15;09:00;17,852839;;;;;;;;;;
22;Plabut.;;30.05.15;09:30;18,848118;;;;;;;;;;
22;Plabut.;;30.05.15;10:00;19,666399;;;;;;;;;;
22;Plabut.;;30.05.15;10:30;19,79253;;;;;;;;;;
22;Plabut.;;30.05.15;11:00;19,235193;;;;;;;;;;
22;Plabut.;;30.05.15;11:30;19,70778;;;;;;;;;;
