Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
185;Klöch;;30.05.15;00:00;14,781177;;;;;;;;;;
185;Klöch;;30.05.15;00:30;14,327703;;;;;;;;;;
185;Klöch;;30.05.15;01:00;14,195069;;;;;;;;;;
185;Klöch;;30.05.15;01:30;14,429675;;;;;;;;;;
185;Klöch;;30.05.15;02:00;14,544972;;;;;;;;;;
185;Klöch;;30.05.15;02:30;14,419838;;;;;;;;;;
185;Klöch;;30.05.15;03:00;14,105184;;;;;;;;;;
185;Klöch;;30.05.15;03:30;13,243979;;;;;;;;;;
185;Klöch;;30.05.15;04:00;13,057694;;;;;;;;;;
185;Klöch;;30.05.15;04:30;12,827451;;;;;;;;;;
185;Klöch;;30.05.15;05:00;12,961352;;;;;;;;;;
185;Klöch;;30.05.15;05:30;12,767254;;;;;;;;;;
185;Klöch;;30.05.15;06:00;12,733324;;;;;;;;;;
185;Klöch;;30.05.15;06:30;13,843548;;;;;;;;;;
185;Klöch;;30.05.15;07:00;14,652003;;;;;;;;;;
185;Klöch;;30.05.15;07:30;15,392122;;;;;;;;;;
185;Klöch;;30.05.15;08:00;15,899528;;;;;;;;;;
185;Klöch;;30.05.15;08:30;17,623432;;;;;;;;;;
185;Klöch;;30.05.15;09:00;19,163431;;;;;;;;;;
185;Klöch;;30.05.15;09:30;20,027622;;;;;;;;;;
185;Klöch;;30.05.15;10:00;20,724953;;;;;;;;;;
185;Klöch;;30.05.15;10:30;21,224493;;;;;;;;;;
185;Klöch;;30.05.15;11:00;21,850412;;;;;;;;;;
185;Klöch;;30.05.15;11:30;22,203789;;;;;;;;;;
