Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
195;Dlbg. AK;;30.05.15;00:00;13,159781;;;;;;;;;;
195;Dlbg. AK;;30.05.15;00:30;12,579503;;;;;;;;;;
195;Dlbg. AK;;30.05.15;01:00;12,555163;;;;;;;;;;
195;Dlbg. AK;;30.05.15;01:30;12,749078;;;;;;;;;;
195;Dlbg. AK;;30.05.15;02:00;12,541355;;;;;;;;;;
195;Dlbg. AK;;30.05.15;02:30;11,947368;;;;;;;;;;
195;Dlbg. AK;;30.05.15;03:00;11,46099;;;;;;;;;;
195;Dlbg. AK;;30.05.15;03:30;10,902298;;;;;;;;;;
195;Dlbg. AK;;30.05.15;04:00;10,758836;;;;;;;;;;
195;Dlbg. AK;;30.05.15;04:30;10,700843;;;;;;;;;;
195;Dlbg. AK;;30.05.15;05:00;10,478282;;;;;;;;;;
195;Dlbg. AK;;30.05.15;05:30;10,8541765;;;;;;;;;;
195;Dlbg. AK;;30.05.15;06:00;12,493772;;;;;;;;;;
195;Dlbg. AK;;30.05.15;06:30;14,421632;;;;;;;;;;
195;Dlbg. AK;;30.05.15;07:00;16,023468;;;;;;;;;;
195;Dlbg. AK;;30.05.15;07:30;17,061787;;;;;;;;;;
195;Dlbg. AK;;30.05.15;08:00;18,14179;;;;;;;;;;
195;Dlbg. AK;;30.05.15;08:30;19,579494;;;;;;;;;;
195;Dlbg. AK;;30.05.15;09:00;20,981403;;;;;;;;;;
195;Dlbg. AK;;30.05.15;09:30;21,875546;;;;;;;;;;
195;Dlbg. AK;;30.05.15;10:00;22,49933;;;;;;;;;;
195;Dlbg. AK;;30.05.15;10:30;23,078512;;;;;;;;;;
195;Dlbg. AK;;30.05.15;11:00;23,665373;;;;;;;;;;
195;Dlbg. AK;;30.05.15;11:30;24,099209;;;;;;;;;;
