Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
198;Fürsten.;;30.05.15;00:00;13,781321;;;;;;;;;;
198;Fürsten.;;30.05.15;00:30;12,801709;;;;;;;;;;
198;Fürsten.;;30.05.15;01:00;12,313929;;;;;;;;;;
198;Fürsten.;;30.05.15;01:30;11,724079;;;;;;;;;;
198;Fürsten.;;30.05.15;02:00;11,425685;;;;;;;;;;
198;Fürsten.;;30.05.15;02:30;10,788981;;;;;;;;;;
198;Fürsten.;;30.05.15;03:00;10,53015;;;;;;;;;;
198;Fürsten.;;30.05.15;03:30;10,360984;;;;;;;;;;
198;Fürsten.;;30.05.15;04:00;9,89334;;;;;;;;;;
198;Fürsten.;;30.05.15;04:30;9,891584;;;;;;;;;;
198;Fürsten.;;30.05.15;05:00;10,345054;;;;;;;;;;
198;Fürsten.;;30.05.15;05:30;10,899423;;;;;;;;;;
198;Fürsten.;;30.05.15;06:00;11,874344;;;;;;;;;;
198;Fürsten.;;30.05.15;06:30;13,028329;;;;;;;;;;
198;Fürsten.;;30.05.15;07:00;14,160609;;;;;;;;;;
198;Fürsten.;;30.05.15;07:30;15,478738;;;;;;;;;;
198;Fürsten.;;30.05.15;08:00;16,620003;;;;;;;;;;
198;Fürsten.;;30.05.15;08:30;18,403706;;;;;;;;;;
198;Fürsten.;;30.05.15;09:00;19,448927;;;;;;;;;;
198;Fürsten.;;30.05.15;09:30;20,254564;;;;;;;;;;
198;Fürsten.;;30.05.15;10:00;21,077574;;;;;;;;;;
198;Fürsten.;;30.05.15;10:30;21,824453;;;;;;;;;;
198;Fürsten.;;30.05.15;11:00;22,344131;;;;;;;;;;
198;Fürsten.;;30.05.15;11:30;22,95391;;;;;;;;;;
