Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
10;Mob. M1;;28.05.15;00:00;11;;;;;;;;;;
10;Mob. M1;;28.05.15;00:30;10,84;;;;;;;;;;
10;Mob. M1;;28.05.15;01:00;10,79;;;;;;;;;;
10;Mob. M1;;28.05.15;01:30;10,46;;;;;;;;;;
10;Mob. M1;;28.05.15;02:00;10,04;;;;;;;;;;
10;Mob. M1;;28.05.15;02:30;9,782;;;;;;;;;;
10;Mob. M1;;28.05.15;03:00;9,241;;;;;;;;;;
10;Mob. M1;;28.05.15;03:30;8,858;;;;;;;;;;
10;Mob. M1;;28.05.15;04:00;8,717;;;;;;;;;;
10;Mob. M1;;28.05.15;04:30;8,718;;;;;;;;;;
10;Mob. M1;;28.05.15;05:00;8,678;;;;;;;;;;
10;Mob. M1;;28.05.15;05:30;8,914;;;;;;;;;;
10;Mob. M1;;28.05.15;06:00;9,309;;;;;;;;;;
10;Mob. M1;;28.05.15;06:30;10,01;;;;;;;;;;
10;Mob. M1;;28.05.15;07:00;10,55;;;;;;;;;;
10;Mob. M1;;28.05.15;07:30;11,49;;;;;;;;;;
10;Mob. M1;;28.05.15;08:00;11,91;;;;;;;;;;
10;Mob. M1;;28.05.15;08:30;12,34;;;;;;;;;;
