Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
139;Graz-W;;30.05.15;00:00;14,07648;;;;;;;;;;
139;Graz-W;;30.05.15;00:30;13,8328495;;;;;;;;;;
139;Graz-W;;30.05.15;01:00;13,267183;;;;;;;;;;
139;Graz-W;;30.05.15;01:30;13,007183;;;;;;;;;;
139;Graz-W;;30.05.15;02:00;12,602462;;;;;;;;;;
139;Graz-W;;30.05.15;02:30;12,416489;;;;;;;;;;
139;Graz-W;;30.05.15;03:00;11,626785;;;;;;;;;;
139;Graz-W;;30.05.15;03:30;11,255959;;;;;;;;;;
139;Graz-W;;30.05.15;04:00;11,175677;;;;;;;;;;
139;Graz-W;;30.05.15;04:30;11,212213;;;;;;;;;;
139;Graz-W;;30.05.15;05:00;11,574443;;;;;;;;;;
139;Graz-W;;30.05.15;05:30;12,121897;;;;;;;;;;
139;Graz-W;;30.05.15;06:00;12,780104;;;;;;;;;;
139;Graz-W;;30.05.15;06:30;13,403307;;;;;;;;;;
139;Graz-W;;30.05.15;07:00;14,547585;;;;;;;;;;
139;Graz-W;;30.05.15;07:30;16,725079;;;;;;;;;;
139;Graz-W;;30.05.15;08:00;18,553381;;;;;;;;;;
139;Graz-W;;30.05.15;08:30;19,597542;;;;;;;;;;
139;Graz-W;;30.05.15;09:00;20,527243;;;;;;;;;;
139;Graz-W;;30.05.15;09:30;21,009998;;;;;;;;;;
139;Graz-W;;30.05.15;10:00;21,339323;;;;;;;;;;
139;Graz-W;;30.05.15;10:30;22,307358;;;;;;;;;;
139;Graz-W;;30.05.15;11:00;22,537495;;;;;;;;;;
139;Graz-W;;30.05.15;11:30;22,516806;;;;;;;;;;
